id	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	males_s1	males_s2
3058	0	0	0	0	0	1	0	0
3059	0	0	0	0	0	1	0	0
3060	0	0	0	0	0	1	1	1
3061	0	0	0	0	0	1	0	0
3062	0	0	0	0	0	1	0	0
3063	0	0	0	0	0	1	0	0
3064	0	0	0	0	0	1	0	0
3065	0	0	0	0	0	1	0	0
3066	0	0	0	0	0	1	0	1
3067	0	0	0	0	0	1	0	0
3068	0	0	0	0	0	1	0	0
3069	0	0	0	0	0	1	3	5
3070	0	0	0	0	0	1	0	0
3071	0	0	0	0	0	1	0	0
3072	0	0	0	0	0	1	0	0
3073	0	0	0	0	0	1	0	0
3074	0	0	0	0	0	1	1	3
3075	0	0	0	0	0	1	0	1
3076	0	0	0	0	0	1	0	0
3077	0	0	0	0	0	1	0	0
3078	0	0	0	0	0	1	0	0
3079	0	0	0	0	0	1	0	0
3080	0	0	0	0	0	1	0	0
3081	0	0	2	0	0	0	1	0
3082	0	0	2	0	0	0	0	0
3083	0	0	1	0	0	0	0	0
3084	0	0	1	0	0	0	0	0
3085	0	0	0	2	0	0	0	0
3086	0	0	0	2	0	0	0	0
3087	0	0	0	0	0	0	6	0
3088	0	0	0	0	0	0	5	2
3089	0	0	0	0	0	0	2	3
3090	0	0	0	0	0	0	2	0
3091	0	0	0	0	0	0	2	0
3092	0	0	0	0	0	0	1	0
3093	0	0	0	0	0	0	1	1
3094	0	0	0	0	0	0	1	0
3095	0	0	0	0	0	0	1	0
3096	0	0	0	0	0	0	1	0
3097	0	0	0	0	0	0	1	1
3098	0	0	0	0	0	0	1	5
3099	0	0	0	0	0	0	1	1
3100	0	0	0	0	0	0	1	0
3101	0	0	0	0	0	0	1	0
3102	0	0	0	0	0	0	1	0
3103	0	0	0	0	0	0	1	0
3104	0	0	0	0	0	0	1	5
3105	0	0	0	0	0	0	1	0
3106	0	0	0	0	0	0	1	0
3107	0	0	0	0	0	0	1	0
3108	0	0	0	0	0	0	1	0
3109	0	0	0	0	0	0	1	0
3110	0	0	0	0	0	0	1	0
3111	0	0	0	0	0	0	1	0
3112	0	0	0	0	0	0	1	4
3113	0	0	0	0	0	0	1	0
3114	0	0	0	0	0	0	1	0
3115	0	0	0	0	0	0	1	0
3116	0	0	0	0	0	0	1	1
3117	0	0	0	0	0	0	1	0
3118	0	0	0	0	0	0	1	4
3119	0	0	0	0	0	0	1	1
3120	0	0	0	0	0	0	1	2
3121	0	0	0	0	0	0	1	0
3122	0	0	0	0	0	0	1	4
3123	0	0	0	0	0	0	1	0
3124	0	0	0	0	0	0	0	10
3125	0	0	0	0	0	0	0	7
3126	0	0	0	0	0	0	0	6
3127	0	0	0	0	0	0	0	5
3128	0	0	0	0	0	0	0	4
3129	0	0	0	0	0	0	0	4
3130	0	0	0	0	0	0	0	4
3131	0	0	0	0	0	0	0	4
3132	0	0	0	0	0	0	0	4
3133	0	0	0	0	0	0	0	4
3134	0	0	0	0	0	0	0	3
3135	0	0	0	0	0	0	0	3
3136	0	0	0	0	0	0	0	3
3137	0	0	0	0	0	0	0	3
3138	0	0	0	0	0	0	0	3
3139	0	0	0	0	0	0	0	3
3140	0	0	0	0	0	0	0	3
3141	0	0	0	0	0	0	0	3
3142	0	0	0	0	0	0	0	3
3143	0	0	0	0	0	0	0	3
3144	0	0	0	0	0	0	0	3
3145	0	0	0	0	0	0	0	3
3146	0	0	0	0	0	0	0	3
3147	0	0	0	0	0	0	0	3
3148	0	0	0	0	0	0	0	3
3149	0	0	0	0	0	0	0	3
3150	0	0	0	0	0	0	0	3
3151	0	0	0	0	0	0	0	2
3152	0	0	0	0	0	0	0	2
3153	0	0	0	0	0	0	0	2
3154	0	0	0	0	0	0	0	2
3155	0	0	0	0	0	0	0	2
3156	0	0	0	0	0	0	0	2
3157	0	0	0	0	0	0	0	2
3158	0	0	0	0	0	0	0	2
3159	0	0	0	0	0	0	0	2
3160	0	0	0	0	0	0	0	2
3161	0	0	0	0	0	0	0	2
3162	0	0	0	0	0	0	0	2
3163	0	0	0	0	0	0	0	2
3164	0	0	0	0	0	0	0	2
3165	0	0	0	0	0	0	0	2
3166	0	0	0	0	0	0	0	2
3167	0	0	0	0	0	0	0	2
3168	0	0	0	0	0	0	0	2
3169	0	0	0	0	0	0	0	2
3170	0	0	0	0	0	0	0	2
3171	0	0	0	0	0	0	0	2
3172	0	0	0	0	0	0	0	2
3173	0	0	0	0	0	0	0	2
3174	0	0	0	0	0	0	0	2
3175	0	0	0	0	0	0	0	2
3176	0	0	0	0	0	0	0	2
3177	0	0	0	0	0	0	0	2
3178	0	0	0	0	0	0	0	2
3179	0	0	0	0	0	0	0	2
3180	0	0	0	0	0	0	0	2
3181	0	0	0	0	0	0	0	2
3182	0	0	0	0	0	0	0	2
3183	0	0	0	0	0	0	0	2
3184	0	0	0	0	0	0	0	1
3185	0	0	0	0	0	0	0	1
3186	0	0	0	0	0	0	0	1
3187	0	0	0	0	0	0	0	1
3188	0	0	0	0	0	0	0	1
3189	0	0	0	0	0	0	0	1
3190	0	0	0	0	0	0	0	1
3191	0	0	0	0	0	0	0	1
3192	0	0	0	0	0	0	0	1
3193	0	0	0	0	0	0	0	1
3194	0	0	0	0	0	0	0	1
3195	0	0	0	0	0	0	0	1
3196	0	0	0	0	0	0	0	1
3197	0	0	0	0	0	0	0	1
3198	0	0	0	0	0	0	0	1
3199	0	0	0	0	0	0	0	1
3200	0	0	0	0	0	0	0	1
3201	0	0	0	0	0	0	0	1
3202	0	0	0	0	0	0	0	1
3203	0	0	0	0	0	0	0	1
3204	0	0	0	0	0	0	0	1
3205	0	0	0	0	0	0	0	1
3206	0	0	0	0	0	0	0	1
3207	0	0	0	0	0	0	0	1
3208	0	0	0	0	0	0	0	1
3209	0	0	0	0	0	0	0	1
3210	0	0	0	0	0	0	0	1
3211	0	0	0	0	0	0	0	1
3212	0	0	0	0	0	0	0	1
3213	0	0	0	0	0	0	0	1
3214	0	0	0	0	0	0	0	1
3215	0	0	0	0	0	0	0	1
3216	0	0	0	0	0	0	0	1
3217	0	0	0	0	0	0	0	1
3218	0	0	0	0	0	0	0	1
3219	0	0	0	0	0	0	0	1
3220	0	0	0	0	0	0	0	1
3221	0	0	0	0	0	0	0	1
3222	0	0	0	0	0	0	0	1
3223	0	0	0	0	0	0	0	1
3224	0	0	0	0	0	0	0	1
3225	0	0	0	0	0	0	0	1
3226	0	0	0	0	0	0	0	1
3227	0	0	0	0	0	0	0	1
3228	0	0	0	0	0	0	0	1
3229	0	0	0	0	0	0	0	1
3230	0	0	0	0	0	0	0	1
3231	0	0	0	0	0	0	0	1
3232	0	0	0	0	0	0	0	1
3233	0	0	0	0	0	0	0	1
3234	0	0	0	0	0	0	0	1
3235	0	0	0	0	0	0	0	1
3236	0	0	0	0	0	0	0	1
3237	0	0	0	0	0	0	0	1
3238	0	0	0	0	0	0	0	1
3239	0	0	0	0	0	0	0	1
3240	0	0	0	0	0	0	0	1
3241	0	0	0	0	0	0	0	1
3242	0	0	0	0	0	0	0	1
3243	0	0	0	0	0	0	0	1
3244	0	0	0	0	0	0	0	1
3245	0	0	0	0	0	0	0	1
3246	0	0	0	0	0	0	0	1
3247	0	0	0	0	0	0	0	1
3248	0	0	0	0	0	0	0	1
3249	0	0	0	0	0	0	0	1
3250	0	0	0	0	0	0	0	1
3251	0	0	0	0	0	0	0	1
3252	0	0	0	0	0	0	0	1
3253	0	0	0	0	0	0	0	1
3254	0	0	0	0	0	0	0	1
3255	0	0	0	0	0	0	0	1
3256	0	0	0	0	0	0	0	1
3257	0	0	0	0	0	0	0	1
3258	0	0	0	0	0	0	0	1
3259	0	0	0	0	0	0	0	1
3260	0	0	0	0	0	0	0	1
3261	0	0	0	0	0	0	0	1
3262	0	0	0	0	0	0	0	1
