id	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	males_s1	males_s2
1	5608016	6888322	4079	5474226	34114	290439	21083	487208
2	1180211	1054609	146633	188910	1268219	7831746	942019	7421849
3	1018528	267225	92604	89953	79501	671310	102470	546581
4	4101	3685	294	456	1654	11433	1370	11383
5	777	134	82	63	623	4781	633	4715
